alias,canonical
AFC Bournemouth,Bournemouth
Bournemouth AFC,Bournemouth
Brighton and Hove Albion,Brighton & Hove Albion
Brighton,Brighton & Hove Albion
Spurs,Tottenham Hotspur
Man United,Manchester United
Man Utd,Manchester United
Manchester Utd,Manchester United
Man City,Manchester City
Newcastle,Newcastle United
Nottingham Forest,Nottingham Forest
Nott'm Forest,Nottingham Forest
Wolves,Wolverhampton Wanderers
West Brom,West Bromwich Albion
Sheffield Utd,Sheffield United
Sheffield Weds,Sheffield Wednesday
QPR,Queens Park Rangers
Leeds,Leeds United
Leicester,Leicester City
Milton Keynes Dons,MK Dons
Wolverhampton,Wolverhampton Wanderers
Tottenham,Tottenham Hotspur
West Ham,West Ham United
Birmingham,Birmingham City
Blackburn,Blackburn Rovers
Bolton,Bolton Wanderers
Bradford,Bradford City
Cardiff,Cardiff City
Charlton,Charlton Athletic
Coventry,Coventry City
Derby,Derby County
Huddersfield,Huddersfield Town
Hull,Hull City
Ipswich,Ipswich Town
Luton,Luton Town
Norwich,Norwich City
Sheffield Weds,Sheffield Wednesday
Stoke,Stoke City
Swansea,Swansea City
Wigan,Wigan Athletic
Barnsley,Barnsley
Oldham,Oldham Athletic
Swindon,Swindon Town
Wimbledon,Wimbledon
Newcastle Utd,Newcastle United
Nottm Forest,Nottingham Forest
Peterboro,Peterborough United
Sheff United,Sheffield United
Sheff Utd,Sheffield United
Sheff Wed,Sheffield Wednesday
Middlesboro,Middlesbrough
Blackpool,Blackpool
Preston,Preston North End
Rotherham,Rotherham United
Plymouth,Plymouth Argyle
QPR,Queens Park Rangers
